id,score,scLivingspaceSqmPrice,scLotareaSqmPrice,scPurchasePrice,scPricetrend,scCondition,scFiring_type,yearConstructed,lotArea,livingSpace,condition,noRooms,purchasePrice,pricepersqmlivingspace,pricepersqmlotarea
85,0.72,1,1,0.95,0.46,0.9,0,1923,268,145,mint_condition,4,615000,4241.379310344828,2294.776119402985
86,0.68,1,1,0.94,0.54,0.6,0,1963,263,123,well_kept,4.5,695000,5622.067626597638,2642.5855513307984
87,0.55,1,1,0.9299999999999999,0.38,0,0,1977,432,143,no_information,4,794000,5552.447552447553,1837.962962962963
88,0.62,1,1,0.98,0.75,0,0,1930,1179,110,no_information,4,210000,1909.090909090909,178.11704834605598
90,0.72,1,1,0.97,0.63,0.7,0,1983,388,110,modernized,4,379000,3445.4545454545455,976.8041237113403
91,0.72,1,1,0.97,0.36,1,0,2020,466,136,first_time_use,5,343700,2527.205882352941,737.5536480686695
92,0.72,1,1,0.97,0.36,1,0,2020,260,136,first_time_use,5,332750,2446.6911764705883,1279.8076923076924
93,0.69,1,1,0.96,0.47,0.7,0,1986,330,120,modernized,5,450000,3750,1363.6363636363637
94,0.64,1,1,0.97,0.26,0.6,0,1906,2000,300,well_kept,10,360000,1200,180
95,0.72,1,1,0.97,0.36,1,0,2020,355,174,first_time_use,6,348800,2004.5977011494253,982.5352112676056
96,0.6,1,1,0.99,0.59,0,0,1848,4500,190,no_information,9,140000,736.8421052631579,31.11111111111111
97,0.49,1,1,1,-0.04,0,0,1930,923,164,need_of_renovation,7,38000,231.70731707317074,41.17009750812568
98,0.68,1,1,0.9299999999999999,0.55,0.6,0,2006,970,200,well_kept,7,785000,3925,809.2783505154639
100,0.74,1,1,0.95,0.46,1,0,2020,177,139,first_time_use,5,599900,4296.046977943283,3372.1191680719503
101,0.74,1,1,0.97,0.46,1,0,2021,134,125,first_time_use,4,396300,3155.254777070064,2957.4626865671644
102,0.55,1,1,0.99,0.31,0,0,1912,200,120,need_of_renovation,4,150000,1250,750
103,0.67,1,1,0.97,0.45,0.6,0,1981,759,111,well_kept,3,379000,3414.4144144144143,499.34123847167325
104,0.56,1,1,0.98,0.39,0,0,2019,268,130,no_information,5,257000,1976.923076923077,958.955223880597
105,0.56,1,1,0.98,0.39,0,0,2019,272,130,no_information,5,259000,1992.3076923076924,952.2058823529412
106,0.56,1,1,0.98,0.39,0,0,2019,262,130,no_information,5,255000,1961.5384615384614,973.2824427480916
107,0.56,1,1,0.98,0.39,0,0,2019,264,130,no_information,5,256000,1969.2307692307693,969.6969696969697
108,0.66,1,1,0.95,0.4,0.6,0,2002,886,150,well_kept,5,659000,4393.333333333333,743.7923250564334
112,0.6,1,1,0.94,0.68,0,0,1991,740,142,no_information,5,720000,5070.422535211268,972.972972972973
113,0.56,1,1,0.98,0.36,0,0,2003,518,140,no_information,7,298500,2132.1428571428573,576.2548262548263
114,0.68,1,1,0.94,0.43,0.7,0,1914,372,168,modernized,4,779000,4636.9047619047615,2094.0860215053763
115,0.67,1,1,0.88,0.52,0.6,0,1990,929,401,well_kept,11,1395000,3476.6355140186915,1501.6146393972012
118,0.71,1,1,0.9299999999999999,0.35,1,0,2021,315,132,first_time_use,5,900000,6818.181818181818,2857.1428571428573
119,0.53,1,1,0.84,0.33,0,0,2021,746,262,no_information,4,1896300,7237.786259541985,2541.957104557641
120,0.73,1,0.99,0.94,0.45,1,0,2021,173,135,first_time_use,5,762000,5644.444444444444,4404.624277456647
121,0.73,1,0.99,0.94,0.45,1,0,2021,152,135,first_time_use,5,717000,5311.111111111111,4717.105263157895
122,0.7,1,1,0.96,0.36,0.9,0,2007,4500,226,mint_condition,6,475000,2101.7699115044247,105.55555555555556
123,0.67,1,1,0.96,0.45,0.6,0,1969,305,102,well_kept,4,469000,4598.0392156862745,1537.704918032787
124,0.75,1,1,0.92,0.68,0.9,0,2002,693,197,mint_condition,8,990000,5025.380710659899,1428.5714285714287
125,0.65,1,1,0.95,0.35,0.6,0,2013,253,140,well_kept,4,550000,3928.5714285714284,2173.913043478261
126,0.63,1,1,0.99,0.8,0,0,1920,23000,350,need_of_renovation,10,130000,371.42857142857144,5.6521739130434785
127,0.55,1,1,0.97,0.36,0,0,2020,298,90,no_information,3,344000,3822.222222222222,1154.3624161073826
128,0.55,1,1,0.96,0.36,0,0,2020,521,140,no_information,4,469700,3355,901.535508637236
131,0.6,1,1,0.97,0.63,0,0,1972,634,200,need_of_renovation,6,379000,1895,597.7917981072555
