id,score,rentMargin,priceSqm,heating,condition,lat,lon
368,0.53,0.72,0.05,0.33,0.6,50.5035025,7.2721451
369,0.54,0.77,0.08,0.33,0.6,51.1787901,6.2949606
370,0.62,0.67,0.06,0.66,0.6,51.3103812,6.5709771
372,0.91,0.82,0.12,1,1,51.2188701,6.8070075
373,0.59,0.65,0.06,0.33,0.9,51.7842978,11.1378224
374,0.53,0.73,0.06,0.33,0.6,51.3538874,7.4824112
376,0.57,0.77,0.05,0.33,0.7,50.9971528,12.4260024
377,0.56,0.7,0.06,0.33,0.7,50.8455535,12.9040026
378,0.49,0.83,0.05,0,0.7,51.0460515,12.2754591
380,0.59,0.84,0.13,0.33,0.6,50.9347743,6.8490284
381,0.69,0.87,0.15,0.33,0.9,51.241801,6.7706669
383,0.44,0.7,0.05,0,0.7,52.1279341,11.6538463
386,0.52,0.7,0.05,0.33,0.6,50.8486689,12.0871069
387,0.68,0.79,0.08,0.33,1,51.1636555,13.573881
388,0.54,0.77,0.08,0,0.9,51.3396549,12.3717469
389,0.52,0.69,0.04,0.33,0.6,50.8527182,12.89979
390,0.57,0.73,0.06,0.33,0.7,50.5179691,7.3120781
391,0.56,0.81,0.1,0,0.9,52.1385758,11.6449468
392,0.53,0.65,0.04,0.33,0.7,52.0687244,9.4176702
393,0.85,0.8,0.07,1,0.9,52.4490477,9.6246747
394,0.58,0.68,0.05,0.33,0.8,50.8242166,12.9118677
396,0.52,0.68,0.06,0.33,0.6,51.2089096,6.434875
397,0.57,0.85,0.06,0.33,0.6,51.3167967,12.2658987
398,0.58,0.68,0.05,0.33,0.8,50.9154631,13.3457837
400,0.44,0.7,0.05,0,0.7,51.3536419,11.9904738
401,0.58,0.79,0.05,0.33,0.7,51.2922509,14.82227
402,0.54,0.74,0.07,0.33,0.6,51.2822376,12.4611332
403,0.6,0.77,0.07,0.33,0.8,51.5216702,7.4435947
404,0.43,0.66,0.05,0,0.7,51.2967137,12.0696446
405,0.48,0.8,0.06,0,0.7,54.1056439,11.9196759
407,0.54,0.68,0.05,0.33,0.7,51.2027383,12.4177172
409,0.59,0.83,0.04,0.33,0.7,52.5279149,11.4569468
410,0.56,0.8,0.06,0.33,0.6,51.3314145,7.0320972
412,0.52,0.68,0.05,0.33,0.6,51.1214822,13.135545
413,0.67,0.73,0.07,0.66,0.7,53.9216139,9.5216668
414,0.62,0.68,0.04,0.66,0.6,50.8497731,12.472672
415,0.84,0.8,0.1,1,0.8,50.0006894,8.7727473
416,0.58,0.8,0.05,0.33,0.7,50.9154631,13.3457837
417,0.53,0.73,0.05,0.33,0.6,50.8370658,12.9066179
418,0.77,0.83,0.08,0.66,0.9,52.508982,13.4599848
419,0.52,0.68,0.05,0.33,0.6,51.5372018,12.3283226
420,0.51,0.66,0.05,0.33,0.6,51.1654088,13.4656424
421,0.54,0.79,0.05,0.33,0.6,52.5012931,12.0353941
422,0.65,0.83,0.06,0.33,0.9,50.950456,11.0609608
423,0.72,0.88,0.1,0.66,0.7,52.5421047,13.3495896
424,0.67,0.83,0.11,0.33,0.9,53.5291458,10.3146088
425,0.62,0.91,0.14,0.33,0.6,53.568518,10.0292554
426,0.67,0.84,0.06,0.66,0.6,51.4508703,11.9608355
427,0.38,0.6,0.04,0,0.6,53.1554414,11.0400003
428,0.58,0.8,0.06,0.33,0.7,51.5293665,7.2215481
429,0.52,0.73,0.06,0,0.9,50.837782,12.054925
430,0.62,0.8,0.07,0.33,0.8,51.2947308,7.2993647
431,0.52,0.62,0.04,0.33,0.7,50.8321267,12.9476823
432,0.64,0.82,0.05,0.33,0.9,51.4433394,11.9591249
433,0.53,0.72,0.05,0.33,0.6,50.8278468,12.9123754
434,0.68,0.85,0.12,0.33,0.9,51.7025191,8.7505373
435,0.68,0.84,0.11,0.33,0.9,52.5108105,9.9232735
