agskey,buildingPermits,landPrices,householdIncome2019,consumerInsolvencies
09189,5.72,429.03,2165.28,0.11
09190,4.52,430.51,2226.73,0.14
09261,3.18,822.23,2142.08,0.24
09262,10.91,173.58,1839.59,0.24
09263,15.02,265.6,2089.02,0.71
09271,8.29,149.24,2063.9,0.51
09272,4.84,45.19,1887.39,0.29
09273,6.95,230.52,2043.41,0.32
09274,4.0,213.35,2102.08,0.25
09275,5.93,84.39,1943.07,0.18
09276,4.62,68.71,1886.59,0.23
09277,5.91,70.04,2028.88,0.47
09278,7.55,118.29,2054.32,0.33
09279,4.65,115.54,2124.73,0.27
09361,1.31,213.2,1948.84,1.35
09362,7.31,1010.01,1962.27,0.27
09363,2.02,183.18,1904.09,1.27
09371,4.58,89.96,2008.12,0.56
09372,6.34,59.61,1958.75,0.28
09373,5.22,120.41,2115.36,0.39
09374,3.57,57.06,1926.98,0.66
09375,7.33,88.55,2115.65,0.11
09376,5.66,111.88,1919.81,0.6
09377,3.01,48.41,1975.46,0.54
09461,6.44,41.06,1914.64,0.66
09462,3.71,132.23,1816.84,0.88
09463,2.33,87.13,2159.71,0.74
09464,0.53,74.59,1756.36,1.5
09471,3.74,122.68,2001.65,0.25
09472,3.9,62.89,1975.07,0.28
09473,3.19,62.75,2228.61,0.3
09474,4.24,187.46,2126.21,0.22
09475,1.76,33.38,1941.34,0.73
09476,2.94,43.2,2011.17,0.47
09477,3.58,60.19,2061.84,0.51
09478,4.95,71.91,2021.4,0.62
09479,2.31,41.81,1988.38,0.5
09561,1.39,75.44,1877.95,0.84
09562,5.04,524.56,2145.84,0.4
09563,6.4,643.08,2064.54,0.54
09564,5.0,1065.19,1952.4,0.63
09565,3.09,256.85,2278.22,0.7
09571,3.9,69.21,2083.41,0.12
09572,6.2,261.7,2271.88,0.28
09573,4.02,481.82,2226.51,0.2
09574,3.1,250.03,2242.63,0.2
09575,3.85,83.42,2018.36,0.17
09576,4.52,194.69,2160.98,0.33
09577,4.29,80.42,1995.39,0.43
09661,5.41,239.03,2155.89,0.37
09662,1.99,112.57,1830.16,0.31
09663,2.1,575.04,2179.43,0.28
09671,2.88,203.92,2144.48,0.45
09672,3.77,58.74,2001.68,0.24
09673,3.75,48.34,2004.08,0.05
09674,2.87,58.8,1946.92,0.3
09675,4.08,104.85,2059.82,0.17
09676,2.7,140.04,2045.38,0.37
09677,3.43,89.79,2081.45,0.24
09678,5.24,92.57,2020.37,0.22
09679,4.42,191.3,2083.6,0.12
09761,5.22,861.94,1755.94,0.5
09762,3.6,241.58,1992.05,0.32
09763,3.08,154.18,1932.49,0.79
09764,4.49,0.0,2393.85,0.3
09771,4.93,299.74,2273.35,0.08
09772,5.16,293.97,2206.25,0.25
09773,4.74,110.11,2130.51,0.4
09774,5.2,119.2,2100.03,0.52
09775,6.01,209.57,2118.45,0.41
09776,4.91,168.75,2279.93,0.35
09777,4.47,178.55,2097.91,0.38
09778,4.82,90.79,2164.86,0.23
09779,4.4,86.06,2161.27,0.35
09780,4.47,188.38,2164.73,0.08
10041,1.62,133.59,1705.6,0.81
10042,3.39,86.27,1666.65,0.5
10043,2.03,99.3,1773.4,0.86
10044,2.74,115.17,1839.73,0.82
10045,1.62,95.51,2032.83,0.68
10046,2.78,60.86,1917.37,1.1
11000,4.87,1135.09,1771.28,0.59
12051,5.64,75.34,1624.64,2.06
12052,2.11,84.79,1684.35,1.72
12053,3.03,43.63,1594.86,1.5
12054,5.84,639.05,1857.57,0.67
12060,4.63,133.36,1797.41,0.74
12061,8.4,183.88,1852.65,0.61
12062,1.68,13.88,1691.19,0.97
12063,7.1,161.92,1800.51,0.82
12064,6.16,97.1,1806.14,0.71
12065,5.18,156.05,1854.28,0.92
12066,1.54,25.38,1741.29,1.15
12067,4.68,60.12,1806.81,0.66
12068,4.01,45.61,1697.84,0.55
12069,4.53,130.19,2001.74,0.41
12070,1.89,19.62,1711.98,0.81
12071,1.93,18.42,1794.88,0.67
12072,5.67,172.27,1774.35,0.35
12073,2.6,20.94,1639.25,0.68
13003,6.48,92.69,1645.37,0.72
13004,4.38,154.45,1712.87,1.65
13071,2.33,46.38,1716.31,0.93
13072,3.42,52.81,1796.92,0.54
13073,4.67,70.84,1724.61,0.56
13074,3.38,58.44,1749.59,0.59
13075,3.94,43.88,1637.17,0.65
13076,2.01,43.1,1814.43,0.68
14511,2.45,100.69,1749.34,1.15
14521,1.08,46.38,1787.25,0.47
14522,1.71,43.46,1791.79,0.41
14523,1.14,33.16,1779.94,0.56
14524,1.35,52.35,1825.78,0.69
14612,5.45,456.46,1730.01,0.45
14625,2.64,59.28,1799.85,0.53
14626,1.1,35.75,1690.52,0.4
14627,3.02,77.88,1852.26,0.4
14628,2.17,73.26,1812.87,0.33
14713,6.35,465.68,1623.92,0.84
14729,3.2,63.08,1882.21,0.66
14730,3.36,72.49,1781.58,0.61
15001,1.08,50.09,1749.91,0.73
15002,2.19,106.27,1545.53,0.7
15003,4.52,136.31,1644.88,0.99
15081,1.9,20.7,1767.62,0.7
15082,1.75,26.71,1734.84,0.97
15083,2.98,45.89,1823.49,0.85
15084,1.76,39.9,1723.43,0.43
15085,1.65,49.88,1745.4,1.58
15086,2.92,42.29,1800.71,1.02
15087,2.13,25.27,1678.14,1.2
15088,2.24,53.69,1810.16,0.6
15089,1.21,33.94,1684.1,0.92
15090,1.92,21.17,1671.63,0.7
15091,1.79,25.73,1782.09,0.67
16051,3.25,166.03,1669.49,0.81
16052,0.85,55.14,1710.27,0.66
16053,2.69,345.28,1660.29,0.32
16054,2.56,49.05,1814.16,0.63
16055,6.08,158.67,1643.69,0.42
16056,0.41,112.0,1700.86,0.42
16061,2.87,39.44,1752.64,0.34
16062,1.7,25.39,1654.97,0.5
16063,2.31,28.64,1853.36,0.32
16064,1.99,33.01,1665.19,0.49
16065,1.16,25.27,1637.34,1.56
16066,2.64,33.52,1766.31,0.6
16067,1.51,41.3,1700.62,0.48
16068,1.5,55.01,1701.48,0.34
16069,2.12,33.41,1790.34,0.34
16070,3.01,67.81,1712.4,0.43
16071,2.31,49.78,1724.64,0.48
16072,0.47,23.8,1756.8,0.81
16073,0.68,29.97,1785.04,0.48
16074,3.67,61.08,1758.02,0.29
16075,1.0,27.68,1738.38,0.37
16076,1.26,28.0,1788.03,0.22
16077,1.27,21.98,1732.56,1.13
