ags,breitbandversorgung50MbitsProzent,breitbandversorgung100MbitsProzent,breitbandversorgung1000MbitsProzent
01054043,36.15,16.92,16.92
01054045,90.45,85.93,84.42
01054046,94.31,83.25,20.06
01054048,73.17,73.17,73.17
01054050,98.81,21.43,9.52
01054052,96.42,96.42,96.42
01054054,9.78,0.0,0.0
01054055,76.64,69.8,68.38
01054056,99.27,96.79,74.3
01054057,5.42,4.69,4.69
01054059,86.26,77.64,66.45
01054061,98.68,98.56,62.38
01054062,60.42,60.42,60.42
01054063,11.76,1.18,0.0
01054065,87.67,78.63,46.48
01054068,74.07,74.07,74.07
01054070,82.06,72.25,0.24
01054071,50.0,50.0,50.0
01054072,64.13,53.26,0.0
01054073,78.26,60.87,58.53
01054074,100.0,100.0,100.0
01054075,78.49,71.19,57.67
01054076,97.18,93.61,37.64
01054077,14.29,0.0,0.0
01054078,87.44,83.96,73.51
01054079,97.39,95.15,95.15
01054080,85.82,85.82,85.82
01054083,91.09,49.5,0.0
01054084,99.26,97.14,79.59
01054085,86.66,71.9,0.0
01054086,68.59,57.59,44.68
01054087,94.98,4.7,0.65
01054088,95.14,89.04,36.97
01054089,100.0,0.0,0.0
01054090,50.0,36.36,4.55
01054091,5.42,2.82,0.61
01054092,97.7,97.7,97.7
01054093,38.15,29.48,15.03
01054094,94.57,58.82,0.45
01054095,85.09,81.91,78.06
01054096,89.29,85.06,83.12
01054097,95.29,95.29,95.29
01054098,94.05,88.95,0.0
01054099,90.54,86.32,80.93
01054100,43.57,32.14,1.43
01054101,86.02,82.44,0.72
01054103,99.86,57.56,47.76
01054104,3.42,1.71,1.71
01054105,80.51,69.74,1.03
01054106,95.77,89.54,78.83
01054108,88.65,88.65,88.65
01054109,71.81,70.92,68.06
01054110,24.39,18.54,0.98
01054113,92.05,86.88,71.07
01054116,87.52,80.18,0.15
01054118,87.89,83.54,81.11
01054119,94.33,65.67,0.33
01054120,96.39,96.39,96.39
01054121,89.26,85.95,84.3
01054123,100.0,100.0,100.0
01054124,76.19,60.0,0.0
01054125,82.23,77.73,67.54
01054126,91.4,87.63,82.26
01054128,91.81,82.96,74.78
01054129,81.44,68.04,1.03
01054130,10.0,10.0,10.0
01054131,92.01,80.66,62.59
01054132,45.19,43.27,32.69
01054134,2.63,1.4,1.4
01054135,7.69,6.92,6.41
