PLZ,AGS
94491,09271
94547,09271
09603,14522
14513,12069
13465,11000
10717,11000
09638,14522
10779,11000
15831,12072
01612,14627
17491,13075
12051,11000
13088,11000
12489,11000
12685,11000
12679,11000
12627,11000
01257,14612
01454,14625
01796,14628
17375,13075
01829,14628
01996,12066
03044,12052
15236,12064
15236,12053
03197,12071
15232,12053
02957,14626
59069,05915
57572,07132
55543,07133
67677,07335
79102,08311
57629,07143
79199,08315
57567,07132
55576,07339
59755,05958
49692,03453
49082,03404
57074,05970
79856,08315
59889,05958
52070,05334
54619,07232
52224,05334
47589,05154
47627,05154
52428,05358
54668,07232
46419,05554
41238,05116
54634,07232
54657,07232
54294,07211
54570,07233
54296,07211
50170,05362
54331,07235
47228,05112
54317,07235
54320,07235
53520,07233
53919,05366
40210,05111
40211,05111
45472,05117
48712,05554
45131,05113
54486,07231
42329,05124
48739,05554
66879,07335
44532,05978
67744,07336
59192,05978
56341,07141
48151,05515
56276,07138
79597,08336
51702,05374
79639,08336
67706,07335
57636,07132
56133,07141
67707,07335
67759,07336
67661,07312
58791,05962
57627,07143
79650,08336
79108,08311
67821,07333
57439,05966
49191,03459
79853,08315
35794,06533
65606,06533
26127,03403
67592,07331
55128,07315
59597,05974
67591,07331
67550,07319
78144,08325
79787,08337
78089,08326
78089,08326
53560,07138
44892,05911
56294,07137
44379,05913
56330,07137
59379,05978
56814,07135
42651,05122
56858,07140
45661,05562
26725,03402
56858,07135
56829,07135
91239,09574
23972,13074
82538,09173
91235,09574
92283,09373
06648,15084
95496,09472
07343,16075
81479,09162
85119,09186
80797,09162
82008,09184
07774,16074
39124,15003
84072,09178
95188,09475
95478,09377
82433,09180
06578,16065
91356,09474
99198,16071
91359,09474
91177,09576
99438,16071
82441,09180
23946,13074
82216,09179
06543,15085
82234,09188
23966,13074
23996,13074
95349,09477
39340,15083
73037,08117
73102,08117
74417,08136
74542,08127
22589,02000
97265,09679
21149,02000
88444,08426
37215,06636
21266,03353
37154,03155
22527,02000
89081,09775
89081,08421
21077,02000
37077,03159
22453,02000
97255,09679
36414,16063
24107,01058
97253,09679
20249,02000
21438,03353
22177,02000
22111,02000
24145,01002
97720,09672
22045,02000
31226,03157
36469,16063
74579,08127
89294,09775
38271,03158
37359,16061
97711,09672
99976,16064
98597,16066
89335,09774
97348,09675
23869,01062
97469,09678
23843,01062
36456,16063
97353,09675
22927,01062
21391,03355
38275,03158
23845,01060
38707,03153
22929,01053
86742,09779
38179,03151
96157,09471
98593,16066
21502,01053
87745,09778
89438,09773
91717,09571
76131,08212
76359,08215
76297,08215
78078,08326
78667,08325
68229,08222
75328,08235
64297,06411
69226,08226
72202,08235
60389,06412
28239,04011
25845,01054
75438,08236
63071,06413
63071,06413
78583,08327
31606,03256
78601,08327
35447,06531
33184,05774
74924,08226
78357,08335
63791,09671
64747,06437
71063,08115
25715,01051
70563,08111
74080,08121
31855,03252
74254,08125
25872,01054
25887,01054
70188,08111
24992,01059
74229,08125
24997,01059
72622,08116
72663,08116
88719,08435
31848,03252
34225,06633
34576,06634
88693,08435
31868,03255
88499,08426
27383,03357
86825,09778
98663,16069
96106,09674
38173,03158
86744,09779
23883,01053
91719,09577
23626,01055
90579,09573
91757,09577
91097,09572
86700,09779
38889,15085
29465,03354
38471,03151
91091,09572
91341,09572
06493,15085
90522,09573
91187,09576
29479,03354
19249,13076
96155,09471
34119,06611
88213,08436
37627,03255
31020,03252
34260,06633
34359,06633
24882,01059
97842,09677
21635,03359
06667,15084
95100,09479
06686,15084
83109,09187
95186,09479
92703,09377
84030,09261
84088,09274
83115,09187
06766,15082
18184,13072
84419,09183
92436,09376
04442,14729
06774,15082
84109,09274
84573,09183
08066,14524
84177,09279
14823,12069
94363,09278
04680,14729
09353,14524
08359,14521
16816,12068
16831,12068
94374,09278
94505,09271
09235,14521
93458,09372
94533,09271
17217,13071
14612,12063
13593,11000
13589,11000
18556,13073
94258,09276
14050,11000
94081,09275
13509,11000
94513,09272
12207,11000
10823,11000
10178,11000
15938,12061
12529,12061
95326,09477
85221,09174
23966,13074
95512,09477
23966,13074
92367,09373
93336,09176
07743,16053
95448,09462
80469,09162
80807,09162
81669,09162
39221,15089
19374,13076
84048,09273
18225,13072
92249,09371
39114,15003
85665,09175
85419,09178
85435,09177
07919,16075
92266,09371
86570,09771
86529,09185
82481,09180
82343,09188
85051,09161
25938,01054
68642,06431
78086,08326
49453,03251
68161,08222
61273,06434
75389,08235
72160,08237
65934,06412
33719,05711
60489,06412
35094,06534
27619,03352
60437,06412
69198,08226
75173,08231
69168,08226
27721,03356
75056,08215
78592,08327
71120,08115
35114,06635
64760,06437
