baseRent,livingSpace,noRooms,condition,interiorQual,lift,typeOfFlat,telekomUploadSpeed,floor,garden,heatingType,yearConstructed,lon,lat
446.75,62.4,3,1,2.414155260346322,0,2.0,40.0,3,0,1,1988,13.6206559,52.5399493
659.0,52.0,2,1,2.0,0,2.0,40.0,1,0,2,1900,13.4501326,52.527336
700.0,60.0,2,4,3.0,1,2.0,40.0,1,0,8,2013,12.143940615476192,48.5363184
1110.0,104.0,3,4,4.0,1,2.0,40.0,1,0,6,2015,13.4371942,48.5763625
470.0,80.0,2,5,2.0,0,2.5008447819779844,40.0,4,0,2,1960,7.0966922,51.5092783
530.0,53.0,2,6,2.0,0,2.0,40.0,2,0,10,1960,13.3126334,52.5701343
406.27,63.98,3,7,2.414155260346322,0,2.0,40.0,2,0,4,1928,11.6551875,52.1211958
395.0,67.0,2,4,2.0,0,2.5008447819779844,2.4,3,0,2,1898,11.9593881,51.4710204
381.44,74.5,3,7,2.414155260346322,0,2.0,10.0,3,0,2,1958,14.3318072,51.5205953
350.0,69.0,3,5,2.414155260346322,0,2.0,40.0,2,0,2,1983,12.520831266666669,52.43240583333333
360.0,67.94,2,9,1.0,0,2.0,40.0,1,1,10,1982,9.8456568,51.9841852
355.0,64.0,2,1,2.0,0,2.0,40.0,1,0,2,1900,11.84199376733988,53.42794635
1150.0,85.0,2,1,3.0,0,4.0,40.0,1,0,2,1996,11.448721,48.2573959
360.0,55.0,3,6,2.0,0,3.0,2.4,3,0,2,1965,8.6156833,53.0589561
650.0,45.0,2,1,2.0,1,2.0,10.0,3,0,2,2005,9.4663722,47.6554333
450.0,62.0,2,1,2.0,0,4.0,10.0,2,0,2,1986,6.9042635,51.2207638
920.0,70.03,2,2,2.414155260346322,1,2.0,40.0,4,0,12,2020,8.8192053,47.9869164
283.0,49.52,2,5,2.414155260346322,0,2.0,40.0,1,0,10,1960,7.124179949894958,51.52002865
318.0,66.06,3,5,2.414155260346322,1,2.0,40.0,1,0,2,1983,11.9183483,51.4804055
1110.0,62.0,2,4,3.0,1,2.0,40.0,2,0,2,2015,13.4019417,52.5090437
999.0,90.63,4,2,2.414155260346322,1,2.0,40.0,1,0,2,2019,13.4972128,52.3929709
440.0,15.0,1,3,3.0,0,2.0,10.0,3,0,4,1959,9.225351852918989,49.147601300000005
800.0,96.1,3,2,3.0,1,2.0,40.0,2,0,6,2018,12.9161916,48.854033
849.38,67.95,2,4,4.0,1,7.0,2.4,2,0,1,2012,7.507911661203806,51.48906495
800.0,113.0,4,3,2.0,0,2.0,10.0,1,0,3,1935,10.195806779145991,52.46696625
548.0,55.0,2,7,3.0,0,5.0,40.0,1,0,3,1979,8.501749090352028,49.5327191
1410.0,110.36,4,4,2.414155260346322,1,2.0,2.4,6,0,7,2016,6.7892702,51.2317495
300.0,59.15,2,6,2.0,0,6.0,40.0,0,0,2,1938,11.6084475,52.1108631
730.0,98.0,2,1,2.0,0,3.0,2.4,1,0,2,1972,9.6832629,52.5544276
550.0,28.24,1,3,4.0,0,1.0,40.0,2,1,1,1963,8.62652435,50.163816
535.0,107.0,4,1,2.0,0,2.0,2.4,2,1,2,1900,11.9746477,51.7556232
1428.0,119.0,3,2,3.0,0,5.0,40.0,1,0,8,2019,6.829517293881679,51.1792072
300.0,56.0,3,1,2.0,0,2.0,2.4,2,0,2,1937,12.896966,50.8377139
265.0,51.95,2,5,2.414155260346322,0,2.0,40.0,4,0,1,1972,13.331867,50.9039731
870.0,57.0,2,1,3.0,0,2.0,40.0,3,0,2,1973,9.172767428230989,48.778869150000006
429.0,70.14,3,1,2.414155260346322,1,2.0,40.0,2,1,2,1966,6.4251847,51.1731202
195.0,43.0,1,1,2.414155260346322,0,3.0,40.0,2,0,2,1995,12.8686475,50.7784267
830.0,106.0,2,4,4.0,1,10.0,10.0,2,0,4,2018,8.7501494,51.7177643
249.0,55.4,2,6,2.414155260346322,0,2.5008447819779844,40.0,2,1,2,1902,12.8708363,50.8160384
699.0,93.71,3,3,3.0,1,2.0,40.0,3,1,2,2013,12.928894295734825,50.84502655
450.0,43.0,1,6,3.0,0,3.0,40.0,3,0,2,1965,6.961708296634615,51.11521745
349.35,43.55,1,4,2.0,1,2.0,10.0,1,0,2,1960,7.4447517154605265,51.49505045
600.0,65.0,2,5,3.0,1,2.0,40.0,4,0,2,1970,7.144838250068702,50.9662457
495.0,45.0,2,1,2.0,0,2.0,40.0,2,0,4,1936,13.5830148,52.4636499
205.0,40.0,2,4,2.0,0,5.0,10.0,2,0,2,1902,12.37484035,50.7313887
685.0,95.0,3,1,2.0,0,2.0,40.0,2,0,10,1960,7.1317271,51.2572371
440.0,56.0,2,7,3.0,0,2.0,40.0,0,1,2,1939,10.9559227,50.2680967
260.0,62.44,3,1,2.414155260346322,0,2.0,40.0,4,0,4,1979,13.82548,53.3009356
625.0,25.0,1,3,3.0,0,1.0,40.0,0,0,2,1982,7.09411147066883,50.7286371
1400.0,70.0,2,4,3.0,0,3.0,40.0,2,0,7,2013,11.52377655102192,48.08355125
299.0,41.0,1,5,2.0,0,3.0,40.0,1,0,2,1910,13.70041465,51.0873747
250.0,71.8,4,6,2.0,1,5.0,40.0,2,0,4,1970,10.0789416,52.6284913
1255.02,96.54,3,5,3.0,1,2.5008447819779844,10.0,2,0,2,2001,13.4112251,52.5286535
320.0,32.0,1,7,2.0,0,2.0,40.0,1,0,1,1925,12.3305758,51.3203989
230.0,45.83,2,6,3.0,0,3.0,40.0,4,0,2,1907,12.939768301234022,50.83957955
350.0,47.0,1,1,2.0,1,2.0,40.0,1,0,2,1999,12.397936950000002,51.3315483
549.0,80.0,3,6,3.0,0,2.0,40.0,1,0,10,1900,9.7195608,52.3921984
280.0,56.29,3,1,2.0,0,2.0,2.4,5,0,2,1985,12.883885469682388,50.7844074
1175.0,113.44,3,2,4.0,0,1.0,40.0,0,1,2,2019,10.080453723338517,52.6098876
310.0,43.0,2,5,3.0,0,3.0,40.0,2,0,2,1971,6.931037716407751,51.472552500000006
750.0,60.0,3,6,3.0,0,5.0,40.0,2,0,2,1914,8.690471326930794,50.1577493
295.0,52.62,2,1,2.0,0,2.0,40.0,1,0,2,1912,13.8660456,50.9786946
409.5,63.0,2,7,3.0,0,2.0,2.4,2,0,4,1921,7.4356477,51.4822115
265.2,69.78,3,5,2.414155260346322,0,2.0,2.4,3,0,2,1960,11.9886003,51.3431023
331.0,68.86,3,6,2.414155260346322,0,2.0,40.0,5,0,2,1971,11.5543405,51.5391447
232.55,48.65,2,1,2.0,0,3.0,40.0,3,1,2,1991,8.4174054,50.931289
